Column1,Column2,Column3
@aurarivera11171,@furlongdrive,RT
@OfficialTVKel,@prisonculture,RT
@pataphysician,@Impolitics,RT
@RyanFlemingPDX,@RyanFlemingPDX,Tweet
@geoffstover,@BillyHallowell,RT
@AshtonKMiller,@StephenAtHome,RT
@steph_bower,@LabSplice,RT
@HabitStyle,@wilw,RT
@kimmalee321,@stevesilberman,RT
@kimmalee321,@xdelmar59,Mention
@marciousa01,@maddow,Reply
@marciousa01,@nytimes,Mention
@Missmeldw,@YourAnonNews,RT
@magsmagenta,@stevesilberman,RT
@magsmagenta,@xdelmar59,Mention
@debnappi,@CREDOMobile,RT
@debnappi,@SenateGOP,Mention
@kylie_rae31,@ItsDanSheehan,RT
@Hierodule,@StephenAtHome,RT
@_sarahxc,@RVAwonk,RT
@Fawkes_you,@jdgrsn,RT
@Pope_Chili_Town,@britbyrd1,Reply
@Pope_Chili_Town,@daveanthony,Mention
@ted_cruz_news,@ted_cruz_news,Tweet
@Rogueusedgov,@StephenAtHome,RT
@MrAlbrecht,@KevinFarzad,RT
@carolineehman,@ItsDanSheehan,RT
@jenbussan,@wilw,RT
@lwoodzz,@lwoodzz,Tweet
@pwpgarden,@SenBookerOffice,RT
@RichFM39517086,@USATODAY,RT
@TimSayWhat,@DonnyFerguson,RT
@WilliamJoyner,@brianklaas,RT
@actionclutch,@actionclutch,Tweet
@laverne742,@SethMacFarlane,RT
@BlackMadness317,@BlackMadness317,Tweet
@Angrychair_,@jeffstrabone,RT
@kyrabeee,@swedishcrepes,RT
@clawnafer,@huntigula,RT
@pinchehugs,@jbarro,RT
@scot_bob,@GeorgeTakei,RT
@celeste088,@GeorgeTakei,RT
@Dragan_S_V,@JtBri,RT
@mcgilh,@mcgilh,Tweet
@mcbmw21,@RubyCodpiece,RT
@G_sky_S,@StephenAtHome,RT
@kagehiramikaP,@BrianWithCheese,RT
@rektfestofchamp,@rektfestofchamp,Tweet
@mysterious_dad,@mysterious_dad,Tweet
@kluzzo,@StephenAtHome,RT
@JohnWesleyShipp,@Green_Footballs,RT
@off_the_cob,@off_the_cob,Tweet
@kimseacret3,@AmyMek,RT
@andrechouravong,@USATODAY,RT
@SaMeisenburg,@kate_schwanke,RT
@RosemaryAgonito,@CREDOMobile,RT
@RosemaryAgonito,@SenateGOP,Mention
@L1saJ4yne,@SenSanders,RT
@copthatlox,@misterpatches,RT
@Inanity101,@brianklaas,RT
@Spicy_Science,@AntonioArellano,RT
@Spicy_Science,@BetsyDeVos,Mention
@msmith0473,@USATODAY,RT
@trymeagainlouis,@BrianWithCheese,RT
@sjoerdmb,@thinkprogress,RT
@Bbp2016,@GeorgeTakei,RT
@JbirdJ,@mike_pence,Reply
@jkc_jaycee,@ChrisSalcedoTX,RT
@jkc_jaycee,@theDemocrats,Mention
@Adelita7,@sareed59,RT
@deltoro01,@CharlesMBlow,RT
@_alinnnaa,@itzzkait,RT
@vowsloveandlace,@wilw,RT
@tscimone88,@ColsBols,RT
@AbbyMoyer97,@BernieSanders,RT
@jamiesheppard81,@ItsDanSheehan,RT
@_uhlexeye,@annasamsung,RT
@TempletonTJones,@seanmdav,RT
@killitwithkats,@TheDailyEdge,RT
@VJthecat,@ChloeBennet4,RT
@deesurgtec,@AbbyMartin,RT
@LJSilverman1,@Pres_Bartlet,RT
@LaurynTayler,@yoyoha,RT
@aceaerialphoto,@YahooNews,RT
@runglo13,@fortunefunny,RT
@JoeWhatsHisName,@ThomasAwful,RT
@langem418,@bessbell,RT
@langem418,@VP,Mention
@langem418,@BetsyDeVos,Mention
@SirSquashman,@Zandy133,RT
@jfguerrero25,@latinovictoryus,RT
@jfguerrero25,@CristobalJAlex,Mention
@LukeAnthony__,@SethMacFarlane,RT
@Kurtz_Warner,@ItsDanSheehan,RT
@Skyles1Dsw,@SenSanders,RT
@jemgirl86,@Omundson,RT
@AshtenK1638,@Essence,RT
@BrianHearn4,@Women4MAGA,RT
@yankeepqi,@sahilkapur,RT
@TheChastaMarie,@now7grandkids,RT
@LyndaAnnK,@AndrewWMullins,RT
@BrittleGrass,@Christiana1987,RT
@laurak1453,@StephenAtHome,RT
@healthybuttrfly,@SethMacFarlane,RT
@LuigiHann,@clickbaitrobot,RT
@PlainJane__21,@wilw,RT
@kozy03,@audreywatters,RT
@SkeddyRuxypin,@Green_Footballs,Reply
@SkeddyRuxypin,@alfranken,Mention
@frandinoh,@SethMacFarlane,RT
@ragnarokkr,@ALT_DOJ,RT
@AMP_SV,@AMP_SV,Tweet
@paurenlardo,@GeorgeTakei,RT
@katkellytay,@cnnbrk,Reply
@goARMIE_roddeng,@armiehammer,RT
@joy_we3kooky,@NormandyAngela,RT
@WinnifredBrown,@CharlesMBlow,RT
@Its_not_kathryn,@kumailn,RT
@Kekegirlp,@1Lcampesino,RT
@lyndshaaay,@rmayemsinger,RT
@jcfruhauf,@ms_erika74,RT
@manufan1079,@ALT_DOJ,RT
@manufan1079,@AltNatParkSer,Mention
@truenorth_eh,@LibertyNews1776,RT
@truenorth_eh,@VP,Mention
@agarcia1031,@SenWarren,Reply
@bizacco,@Green_Footballs,RT
@Safetybunny,@audreywatters,RT
@KimHenke1,@Green_Footballs,RT
@joaniestorman1,@joaniestorman1,Tweet
@moscarla,@MichaelSkolnik,RT
@brennamicek,@logurra,RT
@byejewels,@jyoungwhite,RT
@SoulSistaNokc,@StephenAtHome,RT
@snellular117,@yashar,RT
@smahaydock,@DBHnBuckhead,RT
@smahaydock,@LouDobbs,Mention
@justparker_,@deray,RT
@FragileLamplite,@jpbrammer,RT
@Marketeer2u,@ericgarland,Reply
@Marketeer2u,@kjoerwin,Mention
@Goddyleader,@TEN_GOP,RT
@TimTakesTime,@TimTakesTime,Tweet
@OsborneDP,@StephenAtHome,RT
@AhrosArt,@GeorgeTakei,RT
@Mae_DayJ,@bradlander,RT
@bfrasier1951,@Don_Vito_08,RT
@bfrasier1951,@BetsyDeVos,Mention
@bfrasier1951,@VP,Mention
@_Ms_Unknown,@Freeyourmindkid,RT
@_Ms_Unknown,@mi,Mention
@clarevward,@StephenAtHome,RT
@Lqdmetal,@_Makada_,RT
@michalhayes,@MMFlint,RT
@KahlerSabrina,@_Makada_,RT
@BethEvs,@stevesilberman,RT
@BethEvs,@xdelmar59,Mention
@tanasauce,@brianklaas,RT
@kennethcdavis,@KateMessner,RT
@oliverwasow,@GeorgeTakei,RT
@FdelOpera,@fortunefunny,RT
@maiflower99,@RealMr_Robinson,RT
@maiflower99,@BrizzyVoices,Mention
@ron_dewey,@ron_dewey,Tweet
@Radda1,@CraigCons,RT
